WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (175.00877875833223 -39.9485704392174),224700,Balgownie,Balgownie,2.81444959659,2.81444959659,-39.94857043880347,175.00877875779094,1771603.5641547828,5576018.940146766,1771603.5642,5576018.9401
POINT (175.04579452091016 -39.919642774640295),224800,Laird Park,Laird Park,1.11351171861,1.11351171861,-39.91964277494557,175.04579452055006,1774839.5663684362,5579158.078366559,1774839.5664,5579158.0784
POINT (175.07025773479876 -39.90899312335865),224900,Wembley Park,Wembley Park,1.53594681076,1.53594681076,-39.9089931232491,175.07025773438914,1776957.8441652588,5580291.990912687,1776957.8442,5580291.9909
POINT (175.03470500644096 -39.9305007040063),225000,College Estate,College Estate,1.35036958732,1.35036958732,-39.93050070421144,175.03470500684125,1773864.2722336806,5577974.502076202,1773864.2722,5577974.5021
POINT (175.06422279047115 -39.91472107072533),225100,Whanganui East-Williams Domain,Whanganui East-Williams Domain,1.37721180032,1.37721180032,-39.91472107114948,175.06422279024125,1776427.2563792537,5579668.127553091,1776427.2564,5579668.1276
POINT (175.01822848427904 -39.942733591530015),225200,Gonville West,Gonville West,0.73840658327,0.73840658327,-39.942733591232255,175.01822848460318,1772425.542528437,5576648.6138321925,1772425.5425,5576648.6138
POINT (175.0290088283033 -39.93848551382267),225300,Gonville North,Gonville North,1.34068063538,1.34068063538,-39.93848551340045,175.02900882818085,1773357.344690595,5577099.262046861,1773357.3447,5577099.262
POINT (175.05079129251322 -39.92629435087682),225400,Cornmarket,Cornmarket,0.628884337148,0.628884337148,-39.92629435059703,175.0507912930844,1775249.6704495158,5578409.94242967,1775249.6704,5578409.9424
POINT (175.06127999408662 -39.9218117853602),225500,Whanganui East-Riverlands,Whanganui East-Riverlands,1.49508466129,1.49508466129,-39.921811785806895,175.06127999392484,1776157.5406850197,5578886.86095046,1776157.5407,5578886.861
POINT (175.1562211203491 -39.94185475669161),225600,Kaitoke-Fordell,Kaitoke-Fordell,261.311471366,261.311471366,-39.94185475659823,175.15622112022243,1784218.1346894193,5576470.292110226,1784218.1347,5576470.2921
POINT (175.04701803479028 -39.93513676164192),225700,Whanganui Central,Whanganui Central,2.43775689628,2.43775689628,-39.935136761834144,175.04701803474566,1774904.68569569,5577435.825578489,1774904.6857,5577435.8256
